2025-12-20 05:45:13.275 [scala-execution-context-global-153] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.275 [scala-execution-context-global-153] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.276 [scala-execution-context-global-140] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.277 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.274 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.286 [scala-execution-context-global-151] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.286 [scala-execution-context-global-149] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.287 [scala-execution-context-global-146] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.287 [scala-execution-context-global-151] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.287 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.287 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.287 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.289 [scala-execution-context-global-151] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.300 [scala-execution-context-global-146] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.300 [scala-execution-context-global-153] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.302 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.302 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.302 [scala-execution-context-global-152] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.302 [scala-execution-context-global-146] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.305 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.314 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.314 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.315 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.315 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.315 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.315 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.315 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.316 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.316 [scala-execution-context-global-153] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.326 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.327 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.327 [scala-execution-context-global-140] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.327 [scala-execution-context-global-152] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.327 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.327 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.327 [scala-execution-context-global-140] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.337 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.337 [scala-execution-context-global-146] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.337 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.337 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
