familyId	ownerFamily	ownerSource	acceptedScope	defaultAuthorityTier	requiredWitnesses	sourceCandidateTarget	maxAuthorityRows	negativeControls	contractId	contractStatus
break_prevention	neutralize_key_break	counterplay_axis_suppression	MoveLocal	SupportedLocal	ClaimOnlySurface+Continuation+ExactSlice+NoRivalRelease+NoTacticalVeto+OwnerSeed	2-5	2	TacticalFirst:tactical:first+RivalOrGenericRelabel:owner:break_prevention_rival_or_relabel+MissingWitness:owner:break_prevention_witness_missing	runtime:neutralize_key_break	Releasable
prophylaxis_restraint	counterplay_restraint	prophylactic_move	MoveLocal	SupportedLocal	ClaimOnlySurface+Continuation+ExactSlice+NoRivalRelease+NoTacticalVeto+OwnerSeed	2-5	2	TacticalFirst:tactical:first+RivalOrGenericRelabel:owner:prophylaxis_restraint_rival_or_relabel+MissingWitness:owner:prophylaxis_restraint_witness_missing	runtime:counterplay_restraint	Releasable
open_file_pressure	half_open_file_pressure	local_file_entry_bind	MoveLocal	SupportedLocal	ClaimOnlySurface+Continuation+ExactSlice+NoRivalRelease+NoTacticalVeto+OwnerSeed	2-5	2	TacticalFirst:tactical:first+RivalOrGenericRelabel:owner:open_file_pressure_rival_or_relabel+MissingWitness:owner:open_file_pressure_witness_missing	runtime:half_open_file_pressure	Releasable
bad_piece_liquidation	bad_piece_liquidation	bad_piece_liquidation	MoveLocal	SupportedLocal	ClaimOnlySurface+Continuation+NoRivalRelease+NoTacticalVeto+OwnerSeed	2-5	2	TacticalFirst:tactical:first+RivalOrGenericRelabel:owner:bad_piece_liquidation_rival_or_relabel+MissingWitness:owner:bad_piece_liquidation_witness_missing	subplan:bad_piece_liquidation	Releasable
central_break_timing	central_break_timing	central_break_timing	LineScoped	Deferred	NoTacticalVeto+OwnerSeed	2-5	2	TacticalFirst:tactical:first+RivalOrGenericRelabel:owner:central_break_timing_rival_or_relabel+MissingWitness:owner:central_break_timing_witness_missing	subplan:central_break_timing	Deferred
